25.000000,0.000000,0.000000
26.000000,0.000000,0.000000
27.000000,0.000000,0.000000
28.000000,0.000000,0.000000
29.000000,0.000000,0.000000
30.000000,0.000000,0.000000
31.000000,0.000000,0.000000
32.000000,0.000000,0.000000
33.000000,0.000000,0.000000
34.000000,0.000000,0.000000
35.000000,1.000000,-4.790000
36.000000,1.000000,-2.530000
37.000000,0.000000,0.000000
38.000000,1.000000,-7.320000
39.000000,1.000000,-9.745301
40.000000,0.000000,0.000000
41.000000,0.000000,0.000000
42.000000,0.000000,0.000000
43.000000,0.000000,0.000000
44.000000,0.000000,0.000000
45.000000,0.000000,0.000000
46.000000,0.000000,0.000000
47.000000,0.000000,0.000000
48.000000,0.000000,0.000000
49.000000,0.000000,0.000000
50.000000,0.000000,0.000000
51.000000,0.000000,0.000000
52.000000,0.000000,0.000000
53.000000,0.000000,0.000000
54.000000,0.000000,0.000000
55.000000,0.000000,0.000000
56.000000,0.000000,0.000000
57.000000,0.000000,0.000000
58.000000,0.000000,0.000000
59.000000,0.000000,0.000000
60.000000,0.000000,0.000000
61.000000,0.000000,0.000000
62.000000,0.000000,0.000000
63.000000,0.000000,0.000000
64.000000,0.000000,0.000000
65.000000,0.000000,0.000000
66.000000,0.000000,0.000000
67.000000,0.000000,0.000000
68.000000,0.000000,0.000000
69.000000,0.000000,0.000000
70.000000,0.000000,0.000000
71.000000,0.000000,0.000000
72.000000,0.000000,0.000000
73.000000,0.000000,0.000000
74.000000,0.000000,0.000000
75.000000,0.000000,0.000000
76.000000,1.000000,4.790000
77.000000,1.000000,2.530000
78.000000,0.000000,0.000000
79.000000,1.000000,7.320000
80.000000,1.000000,9.745301
81.000000,0.000000,0.000000
82.000000,0.000000,0.000000
83.000000,0.000000,0.000000
84.000000,0.000000,0.000000
85.000000,0.000000,0.000000
86.000000,0.000000,0.000000
87.000000,0.000000,0.000000
88.000000,0.000000,0.000000
89.000000,0.000000,0.000000
90.000000,0.000000,0.000000
91.000000,0.000000,0.000000
92.000000,0.000000,0.000000
93.000000,0.000000,0.000000
94.000000,0.000000,0.000000
95.000000,0.000000,0.000000
96.000000,0.000000,0.000000
97.000000,0.000000,0.000000
98.000000,0.000000,0.000000
99.000000,0.000000,0.000000
100.000000,0.000000,0.000000
101.000000,0.000000,0.000000
102.000000,0.000000,0.000000
103.000000,0.000000,0.000000
104.000000,0.000000,0.000000
105.000000,0.000000,0.000000
106.000000,0.000000,0.000000
107.000000,1.000000,-4.790000
108.000000,0.000000,0.000000
109.000000,0.000000,0.000000
110.000000,1.000000,-2.530000
111.000000,1.000000,-9.745301
112.000000,1.000000,17.065301
0.000000,0.000000,0.000000
1.000000,0.000000,0.000000
2.000000,0.000000,0.000000
3.000000,0.000000,0.000000
4.000000,0.000000,0.000000
5.000000,0.000000,0.000000
6.000000,0.000000,0.000000
7.000000,0.000000,0.000000
8.000000,0.000000,0.000000
9.000000,0.000000,0.000000
10.000000,0.000000,0.000000
11.000000,0.000000,0.000000
12.000000,0.000000,0.000000
13.000000,0.000000,0.000000
14.000000,0.000000,0.000000
15.000000,0.000000,0.000000
16.000000,0.000000,0.000000
17.000000,0.000000,0.000000
18.000000,0.000000,0.000000
19.000000,0.000000,0.000000
20.000000,0.000000,0.000000
21.000000,0.000000,0.000000
22.000000,0.000000,0.000000
23.000000,0.000000,0.000000
24.000000,0.000000,0.000000
25.000000,0.000000,0.000000
26.000000,0.000000,0.000000
27.000000,0.000000,0.000000
28.000000,0.000000,0.000000
29.000000,0.000000,0.000000
30.000000,0.000000,0.000000
31.000000,0.000000,0.000000
32.000000,0.000000,0.000000
33.000000,0.000000,0.000000
34.000000,0.000000,0.000000
35.000000,1.000000,-4.790000
36.000000,1.000000,-2.530000
37.000000,1.000000,-1.000000
38.000000,1.000000,-1.439928
39.000000,1.000000,-1.000000
40.000000,0.000000,0.000000
41.000000,0.000000,0.000000
42.000000,0.000000,0.000000
43.000000,0.000000,0.000000
44.000000,0.000000,0.000000
45.000000,0.000000,0.000000
46.000000,0.000000,0.000000
47.000000,0.000000,0.000000
48.000000,0.000000,0.000000
49.000000,0.000000,0.000000
50.000000,0.000000,0.000000
51.000000,0.000000,0.000000
52.000000,0.000000,0.000000
53.000000,0.000000,0.000000
54.000000,0.000000,0.000000
55.000000,0.000000,0.000000
56.000000,0.000000,0.000000
57.000000,0.000000,0.000000
58.000000,0.000000,0.000000
59.000000,0.000000,0.000000
60.000000,0.000000,0.000000
61.000000,0.000000,0.000000
62.000000,0.000000,0.000000
63.000000,0.000000,0.000000
64.000000,0.000000,0.000000
65.000000,0.000000,0.000000
66.000000,0.000000,0.000000
67.000000,0.000000,0.000000
68.000000,0.000000,0.000000
69.000000,0.000000,0.000000
70.000000,0.000000,0.000000
71.000000,0.000000,0.000000
72.000000,0.000000,0.000000
73.000000,0.000000,0.000000
74.000000,0.000000,0.000000
75.000000,0.000000,0.000000
76.000000,1.000000,4.790000
77.000000,1.000000,2.530000
78.000000,1.000000,1.000000
79.000000,1.000000,1.439928
80.000000,1.000000,1.000000
81.000000,0.000000,0.000000
82.000000,0.000000,0.000000
83.000000,0.000000,0.000000
84.000000,0.000000,0.000000
85.000000,0.000000,0.000000
86.000000,0.000000,0.000000
87.000000,0.000000,0.000000
88.000000,0.000000,0.000000
89.000000,0.000000,0.000000
90.000000,0.000000,0.000000
91.000000,0.000000,0.000000
92.000000,0.000000,0.000000
93.000000,0.000000,0.000000
94.000000,0.000000,0.000000
95.000000,0.000000,0.000000
96.000000,0.000000,0.000000
97.000000,0.000000,0.000000
98.000000,0.000000,0.000000
99.000000,0.000000,0.000000
100.000000,0.000000,0.000000
101.000000,0.000000,0.000000
102.000000,0.000000,0.000000
103.000000,0.000000,0.000000
104.000000,0.000000,0.000000
105.000000,0.000000,0.000000
106.000000,0.000000,0.000000
107.000000,1.000000,-4.790000
108.000000,0.000000,0.000000
109.000000,1.000000,4.880072
110.000000,1.000000,-2.530000
111.000000,0.000000,0.000000
112.000000,1.000000,2.439928
0.000000,0.000000,0.000000
1.000000,0.000000,0.000000
2.000000,0.000000,0.000000
3.000000,0.000000,0.000000
4.000000,0.000000,0.000000
5.000000,0.000000,0.000000
6.000000,0.000000,0.000000
7.000000,0.000000,0.000000
8.000000,0.000000,0.000000
9.000000,0.000000,0.000000
10.000000,0.000000,0.000000
11.000000,0.000000,0.000000
12.000000,0.000000,0.000000
13.000000,0.000000,0.000000
14.000000,0.000000,0.000000
15.000000,0.000000,0.000000
16.000000,0.000000,0.000000
17.000000,0.000000,0.000000
18.000000,0.000000,0.000000
19.000000,0.000000,0.000000
20.000000,0.000000,0.000000
21.000000,0.000000,0.000000
22.000000,0.000000,0.000000
23.000000,0.000000,0.000000
24.000000,0.000000,0.000000
25.000000,0.000000,0.000000
26.000000,0.000000,0.000000
27.000000,0.000000,0.000000
28.000000,0.000000,0.000000
29.000000,0.000000,0.000000
30.000000,0.000000,0.000000
31.000000,0.000000,0.000000
32.000000,0.000000,0.000000
33.000000,0.000000,0.000000
34.000000,0.000000,0.000000
35.000000,1.000000,4.790000
36.000000,1.000000,2.530000
37.000000,1.000000,4.334447
38.000000,1.000000,2.985553
39.000000,0.000000,0.000000
40.000000,0.000000,0.000000
41.000000,0.000000,0.000000
42.000000,0.000000,0.000000
43.000000,0.000000,0.000000
44.000000,0.000000,0.000000
45.000000,0.000000,0.000000
46.000000,0.000000,0.000000
47.000000,0.000000,0.000000
48.000000,0.000000,0.000000
49.000000,0.000000,0.000000
50.000000,0.000000,0.000000
51.000000,0.000000,0.000000
52.000000,0.000000,0.000000
53.000000,0.000000,0.000000
54.000000,0.000000,0.000000
55.000000,0.000000,0.000000
56.000000,0.000000,0.000000
57.000000,0.000000,0.000000
58.000000,0.000000,0.000000
59.000000,0.000000,0.000000
60.000000,0.000000,0.000000
61.000000,0.000000,0.000000
62.000000,0.000000,0.000000
63.000000,0.000000,0.000000
64.000000,0.000000,0.000000
65.000000,0.000000,0.000000
66.000000,0.000000,0.000000
67.000000,0.000000,0.000000
68.000000,0.000000,0.000000
69.000000,0.000000,0.000000
70.000000,0.000000,0.000000
71.000000,0.000000,0.000000
72.000000,0.000000,0.000000
73.000000,0.000000,0.000000
74.000000,0.000000,0.000000
75.000000,0.000000,0.000000
76.000000,1.000000,-4.790000
77.000000,1.000000,-2.530000
78.000000,1.000000,-4.334447
79.000000,1.000000,-2.985553
80.000000,0.000000,0.000000
81.000000,0.000000,0.000000
82.000000,0.000000,0.000000
83.000000,0.000000,0.000000
84.000000,0.000000,0.000000
85.000000,0.000000,0.000000
86.000000,0.000000,0.000000
87.000000,0.000000,0.000000
88.000000,0.000000,0.000000
89.000000,0.000000,0.000000
90.000000,0.000000,0.000000
91.000000,0.000000,0.000000
92.000000,0.000000,0.000000
93.000000,0.000000,0.000000
94.000000,0.000000,0.000000
95.000000,0.000000,0.000000
96.000000,0.000000,0.000000
97.000000,0.000000,0.000000
98.000000,0.000000,0.000000
99.000000,0.000000,0.000000
100.000000,0.000000,0.000000
101.000000,0.000000,0.000000
102.000000,0.000000,0.000000
103.000000,0.000000,0.000000
104.000000,0.000000,0.000000
105.000000,0.000000,0.000000
106.000000,0.000000,0.000000
107.000000,1.000000,4.790000
108.000000,0.000000,0.000000
109.000000,0.000000,0.000000
110.000000,1.000000,2.530000
111.000000,1.000000,-4.334447
112.000000,1.000000,-2.985553
0.000000,0.000000,0.000000
1.000000,0.000000,0.000000
2.000000,0.000000,0.000000
3.000000,0.000000,0.000000
4.000000,0.000000,0.000000
5.000000,0.000000,0.000000
6.000000,0.000000,0.000000
7.000000,0.000000,0.000000
8.000000,0.000000,0.000000
9.000000,0.000000,0.000000
10.000000,0.000000,0.000000
11.000000,0.000000,0.000000
12.000000,0.000000,0.000000
13.000000,0.000000,0.000000
14.000000,0.000000,0.000000
15.000000,0.000000,0.000000
16.000000,0.000000,0.000000
17.000000,0.000000,0.000000
18.000000,0.000000,0.000000
19.000000,0.000000,0.000000
20.000000,0.000000,0.000000
21.000000,0.000000,0.000000
22.000000,0.000000,0.000000
23.000000,0.000000,0.000000
24.000000,0.000000,0.000000
25.000000,0.000000,0.000000
26.000000,0.000000,0.000000
27.000000,0.000000,0.000000
28.000000,0.000000,0.000000
29.000000,0.000000,0.000000
30.000000,0.000000,0.000000
31.000000,0.000000,0.000000
32.000000,0.000000,0.000000
33.000000,0.000000,0.000000
34.000000,0.000000,0.000000
35.000000,1.000000,-4.790000
36.000000,1.000000,-2.530000
37.000000,1.000000,4.820000
38.000000,1.000000,3.320000
39.000000,0.000000,0.000000
40.000000,0.000000,0.000000
41.000000,0.000000,0.000000
42.000000,0.000000,0.000000
43.000000,0.000000,0.000000
44.000000,0.000000,0.000000
45.000000,0.000000,0.000000
46.000000,0.000000,0.000000
47.000000,0.000000,0.000000
48.000000,0.000000,0.000000
49.000000,0.000000,0.000000
50.000000,0.000000,0.000000
51.000000,0.000000,0.000000
52.000000,0.000000,0.000000
53.000000,0.000000,0.000000
54.000000,0.000000,0.000000
55.000000,0.000000,0.000000
56.000000,0.000000,0.000000
57.000000,0.000000,0.000000
58.000000,0.000000,0.000000
59.000000,0.000000,0.000000
60.000000,0.000000,0.000000
61.000000,0.000000,0.000000
62.000000,0.000000,0.000000
63.000000,0.000000,0.000000
64.000000,0.000000,0.000000
65.000000,0.000000,0.000000
66.000000,0.000000,0.000000
67.000000,0.000000,0.000000
68.000000,0.000000,0.000000
69.000000,0.000000,0.000000
70.000000,0.000000,0.000000
71.000000,0.000000,0.000000
72.000000,0.000000,0.000000
73.000000,0.000000,0.000000
74.000000,0.000000,0.000000
75.000000,0.000000,0.000000
76.000000,1.000000,4.790000
77.000000,1.000000,2.530000
78.000000,1.000000,-4.820000
79.000000,1.000000,-3.320000
80.000000,0.000000,0.000000
81.000000,0.000000,0.000000
82.000000,0.000000,0.000000
83.000000,0.000000,0.000000
84.000000,0.000000,0.000000
85.000000,0.000000,0.000000
86.000000,0.000000,0.000000
87.000000,0.000000,0.000000
88.000000,0.000000,0.000000
89.000000,0.000000,0.000000
90.000000,0.000000,0.000000
91.000000,0.000000,0.000000
92.000000,0.000000,0.000000
93.000000,0.000000,0.000000
94.000000,0.000000,0.000000
95.000000,0.000000,0.000000
96.000000,0.000000,0.000000
97.000000,0.000000,0.000000
98.000000,0.000000,0.000000
99.000000,0.000000,0.000000
100.000000,0.000000,0.000000
101.000000,0.000000,0.000000
102.000000,0.000000,0.000000
103.000000,0.000000,0.000000
104.000000,0.000000,0.000000
105.000000,0.000000,0.000000
106.000000,0.000000,0.000000
107.000000,1.000000,-4.790000
108.000000,0.000000,0.000000
109.000000,1.000000,15.460000
110.000000,1.000000,-2.530000
111.000000,1.000000,-4.820000
112.000000,1.000000,-3.320000
0.000000,0.000000,0.000000
1.000000,0.000000,0.000000
2.000000,0.000000,0.000000
3.000000,0.000000,0.000000
4.000000,0.000000,0.000000
5.000000,0.000000,0.000000
6.000000,0.000000,0.000000
7.000000,0.000000,0.000000
8.000000,0.000000,0.000000
9.000000,0.000000,0.000000
10.000000,0.000000,0.000000
11.000000,0.000000,0.000000
12.000000,0.000000,0.000000
13.000000,0.000000,0.000000
14.000000,0.000000,0.000000
15.000000,0.000000,0.000000
16.000000,0.000000,0.000000
17.000000,0.000000,0.000000
18.000000,0.000000,0.000000
19.000000,0.000000,0.000000
20.000000,0.000000,0.000000
21.000000,0.000000,0.000000
22.000000,0.000000,0.000000
23.000000,0.000000,0.000000
24.000000,0.000000,0.000000
25.000000,0.000000,0.000000
26.000000,0.000000,0.000000
27.000000,0.000000,0.000000
28.000000,0.000000,0.000000
29.000000,0.000000,0.000000
30.000000,0.000000,0.000000
31.000000,0.000000,0.000000
32.000000,0.000000,0.000000
33.000000,0.000000,0.000000
34.000000,0.000000,0.000000
35.000000,1.000000,-4.790000
36.000000,1.000000,-2.530000
37.000000,0.000000,0.000000
38.000000,1.000000,3.320000
39.000000,1.000000,4.420000
40.000000,0.000000,0.000000
41.000000,0.000000,0.000000
42.000000,0.000000,0.000000
43.000000,0.000000,0.000000
44.000000,0.000000,0.000000
45.000000,0.000000,0.000000
46.000000,0.000000,0.000000
47.000000,0.000000,0.000000
48.000000,0.000000,0.000000
49.000000,0.000000,0.000000
50.000000,0.000000,0.000000
51.000000,0.000000,0.000000
52.000000,0.000000,0.000000
53.000000,0.000000,0.000000
54.000000,0.000000,0.000000
55.000000,0.000000,0.000000
56.000000,0.000000,0.000000
57.000000,0.000000,0.000000
58.000000,0.000000,0.000000
59.000000,0.000000,0.000000
60.000000,0.000000,0.000000
61.000000,0.000000,0.000000
62.000000,0.000000,0.000000
63.000000,0.000000,0.000000
64.000000,0.000000,0.000000
65.000000,0.000000,0.000000
66.000000,0.000000,0.000000
67.000000,0.000000,0.000000
68.000000,0.000000,0.000000
69.000000,0.000000,0.000000
70.000000,0.000000,0.000000
71.000000,0.000000,0.000000
72.000000,0.000000,0.000000
73.000000,0.000000,0.000000
74.000000,0.000000,0.000000
75.000000,0.000000,0.000000
76.000000,1.000000,4.790000
77.000000,1.000000,2.530000
78.000000,0.000000,0.000000
79.000000,1.000000,-3.320000
80.000000,1.000000,-4.420000
81.000000,0.000000,0.000000
82.000000,0.000000,0.000000
83.000000,0.000000,0.000000
84.000000,0.000000,0.000000
85.000000,0.000000,0.000000
86.000000,0.000000,0.000000
87.000000,0.000000,0.000000
88.000000,0.000000,0.000000
89.000000,0.000000,0.000000
90.000000,0.000000,0.000000
91.000000,0.000000,0.000000
92.000000,0.000000,0.000000
93.000000,0.000000,0.000000
94.000000,0.000000,0.000000
95.000000,0.000000,0.000000
96.000000,0.000000,0.000000
97.000000,0.000000,0.000000
98.000000,0.000000,0.000000
99.000000,0.000000,0.000000
100.000000,0.000000,0.000000
101.000000,0.000000,0.000000
102.000000,0.000000,0.000000
103.000000,0.000000,0.000000
104.000000,0.000000,0.000000
105.000000,0.000000,0.000000
106.000000,0.000000,0.000000
107.000000,1.000000,-4.790000
108.000000,0.000000,0.000000
109.000000,1.000000,10.640000
110.000000,1.000000,-2.530000
111.000000,1.000000,4.420000
112.000000,1.000000,-7.740000
0.000000,0.000000,0.000000
1.000000,0.000000,0.000000
2.000000,0.000000,0.000000
3.000000,0.000000,0.000000
4.000000,0.000000,0.000000
5.000000,0.000000,0.000000
6.000000,0.000000,0.000000
7.000000,0.000000,0.000000
8.000000,0.000000,0.000000
9.000000,0.000000,0.000000
10.000000,0.000000,0.000000
11.000000,0.000000,0.000000
12.000000,0.000000,0.000000
13.000000,0.000000,0.000000
14.000000,0.000000,0.000000
15.000000,0.000000,0.000000
16.000000,0.000000,0.000000
17.000000,0.000000,0.000000
18.000000,0.000000,0.000000
19.000000,0.000000,0.000000
20.000000,0.000000,0.000000
21.000000,0.000000,0.000000
22.000000,0.000000,0.000000
23.000000,0.000000,0.000000
24.000000,0.000000,0.000000
25.000000,0.000000,0.000000
26.000000,0.000000,0.000000
27.000000,0.000000,0.000000
28.000000,0.000000,0.000000
29.000000,0.000000,0.000000
30.000000,0.000000,0.000000
31.000000,0.000000,0.000000
32.000000,0.000000,0.000000
33.000000,0.000000,0.000000
34.000000,0.000000,0.000000
35.000000,0.000000,0.000000
36.000000,0.000000,0.000000
37.000000,1.000000,-2.410000
38.000000,0.000000,0.000000
39.000000,1.000000,2.210000
40.000000,0.000000,0.000000
41.000000,0.000000,0.000000
42.000000,0.000000,0.000000
43.000000,0.000000,0.000000
44.000000,0.000000,0.000000
45.000000,0.000000,0.000000
46.000000,0.000000,0.000000
47.000000,0.000000,0.000000
48.000000,0.000000,0.000000
49.000000,0.000000,0.000000
50.000000,0.000000,0.000000
51.000000,0.000000,0.000000
52.000000,0.000000,0.000000
53.000000,0.000000,0.000000
54.000000,0.000000,0.000000
55.000000,0.000000,0.000000
56.000000,0.000000,0.000000
57.000000,0.000000,0.000000
58.000000,0.000000,0.000000
59.000000,0.000000,0.000000
60.000000,0.000000,0.000000
61.000000,0.000000,0.000000
62.000000,0.000000,0.000000
63.000000,0.000000,0.000000
64.000000,0.000000,0.000000
65.000000,0.000000,0.000000
66.000000,0.000000,0.000000
67.000000,0.000000,0.000000
68.000000,0.000000,0.000000
69.000000,0.000000,0.000000
70.000000,0.000000,0.000000
71.000000,0.000000,0.000000
72.000000,0.000000,0.000000
73.000000,0.000000,0.000000
74.000000,0.000000,0.000000
75.000000,0.000000,0.000000
76.000000,0.000000,0.000000
77.000000,0.000000,0.000000
78.000000,1.000000,2.410000
79.000000,0.000000,0.000000
80.000000,1.000000,-2.210000
81.000000,0.000000,0.000000
82.000000,0.000000,0.000000
83.000000,0.000000,0.000000
84.000000,0.000000,0.000000
85.000000,0.000000,0.000000
86.000000,0.000000,0.000000
87.000000,0.000000,0.000000
88.000000,0.000000,0.000000
89.000000,0.000000,0.000000
90.000000,0.000000,0.000000
91.000000,0.000000,0.000000
92.000000,0.000000,0.000000
93.000000,0.000000,0.000000
94.000000,0.000000,0.000000
95.000000,0.000000,0.000000
96.000000,0.000000,0.000000
97.000000,0.000000,0.000000
98.000000,0.000000,0.000000
99.000000,0.000000,0.000000
100.000000,0.000000,0.000000
101.000000,0.000000,0.000000
102.000000,0.000000,0.000000
103.000000,0.000000,0.000000
104.000000,0.000000,0.000000
105.000000,0.000000,0.000000
106.000000,0.000000,0.000000
107.000000,0.000000,0.000000
108.000000,0.000000,0.000000
109.000000,1.000000,-2.410000
110.000000,0.000000,0.000000
111.000000,1.000000,4.620000
112.000000,1.000000,-2.210000
0.000000,0.000000,0.000000
1.000000,0.000000,0.000000
2.000000,0.000000,0.000000
3.000000,0.000000,0.000000
4.000000,0.000000,0.000000
5.000000,0.000000,0.000000
6.000000,0.000000,0.000000
7.000000,0.000000,0.000000
8.000000,0.000000,0.000000
9.000000,0.000000,0.000000
10.000000,0.000000,0.000000
11.000000,0.000000,0.000000
12.000000,0.000000,0.000000
13.000000,1.000000,4.810000
14.000000,0.000000,0.000000
15.000000,0.000000,0.000000
16.000000,0.000000,0.000000
17.000000,0.000000,0.000000
18.000000,0.000000,0.000000
19.000000,0.000000,0.000000
20.000000,0.000000,0.000000
